voterid,name,category,country,gender,film1,film2,film3,film4,film5,film6,film7,film8,film9,film10,comment
b'435',b'Kaushik Bhaumik',b'programmer',b'India',b'Male',b'4ce2b6aaeb863',b'4ce2b6a68bd9d',b'4ce2b6a95e369',b'4ce2b7219ffd8',b'4ce2b6b209ea3',b'4ce2b797c7731',b'4ce2b6b392e27',b'4ce2b6be6fe90',b'4ce2b8517abf7',b'4ce2b775b801a',"b'Much is missed out of this list, of course \xe2\x80\x93 I especially regretted not finding place for Pasolini\xe2\x80\x99s Teorema, for Belle de Jour and for Chungking Express. Visconti is sorely missed, as are very personal favourites like Franju\xe2\x80\x99s Les yeux sans visage and Vigo\xe2\x80\x99s L\xe2\x80\x99Atalante. All I can hope for is that the spirit of these absent films lurks somewhere among the films chosen. As for what guides the choices, I feel that until now most good cinema has come from outside those cultural conventions that we call \xe2\x80\x98western\xe2\x80\x99 \xe2\x80\x93 from where the medium has forever been welcomed as a magical visitor from nowhere. The films chosen here best live up to the wildly experimental and playful ways in which cinema was meant to be engaged with.'"
b'230',b'Pamela Bi\xc3\xa9nzobas Saffie',b'critic',b'Chile',b'Female',b'4ce2b6b7433c1',b'4ce2b6f6c85c4',b'4ce2b6bcd514a',b'4ce2b6bd1d8e2',b'4ce2b78292f14',b'4ce2b69592ecf',b'4ce2b6b392e27',b'4ce2b754db651',b'4ce2b6b30995b',b'4ce2b6b94daff',"b'One way I found to try to get around the difficulty (and sense of arrogance) of establishing a list of the greatest films of all times was to set myself aside and arbitrarily rule out all of the filmmakers that appeared in the top ten directors or films in the 2002 poll. This meant excluding all films by Bergman, Coppola, De Sica, Donen, Eisenstein, Fellini, Ford, Godard, Hitchcock, Kelly, Kubrick, Kurosawa, Lean, Murnau, Ozu, Renoir, Scorsese, Welles or Wilder. Some exclusions, of course, were painful. Then, though I was tempted to seek certain balance and variety (I am not pleased at the evident cultural and chronological concentration of the list), I stuck to a term suggested in the invitation to vote, \xe2\x80\x9cimpact\xe2\x80\x9d, and assumed the utter subjectivity of the exercise. These are just a few of the films (with all of the mentioned exceptions and many other heartbreaking absences) that have had the greatest impact on me when I discovered or rediscovered them.'"
b'1177',b'Susanne Bier',b'Director',b'Denmark',b'Female',b'4ce2b6b3b75b7',b'4ce2b6c010eb7',b'4ce2b69562aa2',b'4ce2b6ae61fec',b'4ce2b6b0ce272',b'4ce2b6bcdaa6f',b'4ce2b69415af8',b'4ce2b6ad5a28a',b'4ce2b6a754af6',b'4ce2b6955c6ba',b''
b'798',b'Anne Billson',b'critic',b'UK',b'Female',b'4ce2b818a4b15',b'4ce2b6a78d5ab',b'4ce2b6a7e0681',b'4ce2b6ab0982b',b'4ce2b6ae1daad',b'4ce2b6b0210f1',b'4ce2b6b24f2c6',b'4ce2b6b5b6382',b'4ce2b8c344300',b'4ce2b6b9caca4',b''
b'866',b'Andrew Birkin',b'Director',b'UK',b'Male',b'4ce2b6b9450a5',b'4ce2b6ae61fec',b'4ce2b7f82aa3e',b'4ce2b69415af8',b'1008',b'4ce2b6f9d7213',b'4ce2b6b86b7af',b'4ce2b6ba2864d',b'4ce2b6ba76c85',b'4ce2b78ba9397',"b'As J M Barrie wrote, ""I do loathe explanations"".'"
b'57',b'Tibor B\xc3\xadr\xc3\xb3',b'programmer',b'Hungary',b'Male',b'4ce2b6b24a996',b'4ce2b797b6e41',b'4ce2b7fdef14c',b'4ce2b6a95e369',b'4ce2b6aaa1ff3',b'4ce2b6ab4237b',b'4ce2b8b7b28dc',b'4ce2b7ec67971',b'4ce2b6a754af6',b'4ce2b7ffef910',"b'Easy Rider is an artistic composition of a certain lifestyle and feeling. \nAndy Garcia\xe2\x80\x99s performance in Night Falls on Manhattan, meanwhile, is great \xe2\x80\x93 it is also one of the most tense crime stories. Excellent!\nThe Godfather: Part I is the first and most comprehensive presentation of the American mafia; Once Upon a Time the West is the best romantic Western film; The Lives of Others an almost documentary approach of the operation of the former east German secret service; Cinema Paradiso a very rich and emotional presentation of the love of films and cinema.\nIn The Truman Show, Peter Weir displays the operation and background of quiz shows, presented through excellent performances.\nCroupier also examines the rules of a profession \xe2\x80\x93 and not the same as the statutory laws. One of Clive Owen\xe2\x80\x99s best performances.\nBlack Orpheus is the best romantic story and has one of the best movie soundtracks.\nAnd The French Connection? It simply features Gene Hackman\xe2\x80\x99s best performance ever.'"
b'389',b'Lizelle Bisschoff',b'academic',b'South Africa / UK',b'Female',b'4ce2b6a5551ac',b'4ce2b72b62c27',b'4ce2b8485aac9',b'4ce2b735ae1c5',b'4ce2b8b7b28dc',b'4ce2b6b0544c6',b'4ce2b89f68292',b'4ce2b7c1b61df',b'4ce2b77b4418a',b'4ce2b79d52351',b''
b'276',b'Moinak Biswas',b'academic',b'India',b'Male',b'4ce2b6c0108d6',b'4ce2b6a68bd9d',b'4ce2b6ae61fec',b'4ce2b6bfd1ebb',b'4ce2b7a39630e',b'4ce2b6b03201f',b'4ce2b6bb90873',b'4ce2b6b6b7aca',b'4ce2b6ae52fa0',b'4ce2b6b9efb3b',"b'I have listed the ten films that immediately came to mind as having left a deep impact on my own growing up with films, knowing full well this leaves out enough to make me feel ungrateful.\nThese films cover the landmarks of our travels in the continent of cinema in the Calcutta of the 1980s-90s. They range from the celebration of the everyday Indian reality in Ray and the encounter with history in Ghatak to the lasting spirit of Soviet montage, the discursive flight to poetry in the Nouvelle Vague, the explosive mix of disparate traditions in Japan, the commitment to the unconscious in Bu\xc3\xb1uel and the revival of faith in the cinema in Kiarostami. The list should be seen as signposts on an enchanted map rather than a balanced account of achievements in film.'"
b'792',b'Anton Bitel',b'critic',b'UK',b'Male',b'4ce2b69562aa2',b'4ce2b6c002eb7',b'4ce2b6a90d39d',b'4ce2b6bd29db3',b'4ce2b6bd4355f',b'4ce2b6ac7d8e0',b'4ce2b735ae1c5',b'4ce2b6bfecaeb',b'4ce2b89a9ee7b',b'4ce2b8c344300',"b'Last Year in Marienbad, Spring Summer Autimn Winter... and Spring and Synecdoche, New York achieve their timelessness precisely by concerning themselves with time\xe2\x80\x99s endless, echoing repetitions. The Holy Mountain, Eraserhead and The Falls push auteurism to ecstatically unhinged extremes, along the way defying all definition. Apocalypse Now and Koyaanisqatsi expand the possibilities of cinematic sound and spectacle to unfold grand narratives in innovative ways. La Dolce Vita captures (in tabloid snapshot) the ambivalence of the modern age by exulting in the very decadence and excess that it also decries, while the time-serving antihero of Assassination is a slippery avatar for any era of shifting allegiances and identities. All of these films are amenable to, and indeed benefit from repeated watchings, maturing along with the viewer, while several also offer a near-encyclopedic vision of life in cross-section. Of course many, many other titles would meet these criteria \xe2\x80\x93 but if these ten are not perhaps the greatest films (whatever that might mean), each at least offers a template of greatness.'"
b'81',b'Stig Bj\xc3\xb6rkman',b'critic',b'Sweden',b'Male',b'4ce2b6a6e45a7',b'4ce2b895480e3',b'4ce2b6ad0c120',b'4ce2b8485aac9',b'4f4b8d17bedb4',b'4ce2b6b049967',b'4ce2b6b185765',b'4ce2b6b2deaa5',b'4ce2b6b8bc241',b'4ce2b6b9caca4',"b'For every decade that passes, the choice becomes more and more difficult. They don\xe2\x80\x99t stop making films! So, this time maybe not the ten best films ever, but films I can (and do) see over and over again with the same, or increasing pleasure. (Well, Melancholia I\xe2\x80\x99ve only seen twice so far, but I\xe2\x80\x99m certain we\xe2\x80\x99ll meet again\xe2\x80\xa6)\nSo, five unhappy or unfulfilled romances, three tales of evil and two Nordic introspections. What does that say about me?'"
b'524',b'Iulia Blaga',b'critic',b'Romania',b'Female',b'4ce2b6b9450a5',b'4ce2b6b4b0e0c',b'4ce2b6f695fc4',b'4ce2b6a7ea9b8',b'4ce2b693ec5ed',b'4ce2b6b0544c6',b'4ce2b6b0b69c4',b'4ce2b754db651',b'4ce2b8de13c81',b'4ce2b6b9caca4',b''
b'1034',b'Les Blank',b'Director',b'UK',b'Male',b'4ce2b6b3b75b7',b'4ce2b6ae61fec',b'4ce2b69612f7d',b'4ce2b6a7a801b',b'4ce2b6ab5808b',b'4ce2b6b082150',b'4ce2b7491753f',b'4ce2b6b29b568',b'4ce2b6b61b4e8',b'4ce2b6b9efb3b',b''
b'337',b'Marten Blomkvist',b'critic',b'Sweden',b'Male',b'4ce2b6c010eb7',b'4ce2b6bc285f7',b'4ce2b82020179',b'4ce2b7d2478c1',b'4ce2b6a7b69f6',b'4ce2b70696ace',b'4ce2b6ab6f1c7',b'4ce2b6b54abdf',b'4ce2b6b5b6382',b'4ce2b6b4e4421',"b'Of all the great films from which to choose, these are ten that I feel passionately for. Both the craftsmanship and the emotion in them overwhelms me. No great surprises here, I expect \xe2\x80\x93 maybe lightweight Casablanca. But with that dialogue, those actors, those sets, that cinematography and that song it is the movie that is what thousands of movies have tried to be. Here the emotion is in the craftsmanship.'"
b'550',b'Hans-Michael Bock',b'critic',b'Germany',b'Male',b'4ce2b70eb3214',b'4ce2b6a52249e',b'4ce2b6aae85f3',b'4ce2b6adb948c',b'4ce2b740d3924',b'4ce2b6b143f57',b'4ce2b6b54abdf',b'4ce2b6b5b6382',b'4ce2b76e98a5c',b'4ce2b779dd367',b''
b'374',b'Maja Bogojevic',b'critic',b'Montenegro',b'Female',b'4ce2b6bc0b5d2',b'4ce2b6bd1e475',b'4ce2b6ac59a0b',b'1005',b'4ce2b6ad1273e',b'4ce2b6b0511e9',b'4ce2b6bb90873',b'4ce2b754db651',b'4ce2b6b310bc0',b'4ce2b6a9f365e',"b'I have chosen the ten films that have had the biggest impact on my view of cinema. My order of preference refers only to the Godard films compared to the rest. Godard, because he challenges and transcends the boundaries of the film medium, because he makes films beyond film art.'"
b'633',b'Enrique Bolado',b'programmer',b'Spain',b'Male',b'4ce2b6a477be9',b'4ce2b6bbb8e51',b'4ce2b6ab01897',b'4ce2b6bee7739',b'4ce2b752105a2',b'4ce2b6b46ab2d',b'4ce2b6b54abdf',b'4ce2b6b78bfc0',b'4ce2b6b86f032',b'4ce2b6b9caca4',b''
b'745',b'Carlos Bonfil',b'critic',b'Mexico',b'Male',b'4ce2b6b25bb2b',b'4ce2b6a7a801b',b'4ce2b6b9f3ba7',b'4ce2b6a926e5b',b'4ce2b71208b72',b'4ce2b6b049967',b'4ce2b6b209ea3',b'4ce2b754db651',b'4ce2b6b6036b6',b'4ce2b6b757144',"b'The criteria for selecting these films have been entirely subjective. Although I recognise the technical and artistic quality of such works, and the way many other titles may have equally, if not more decisively, contributed to the enhancement of filmmaking as an art, my choice is closely related to the way these movies have been crucial to my education as a cinephile and to my 22 years of work as a film critic.'"
b'560',b'Guido Bonsaver',b'academic',b'UK',b'Male',b'4ce2b6b25bb2b',b'4ce2b6b9450a5',b'4ce2b6ae61fec',b'4ce2b6a7a801b',b'4ce2b6a90d39d',b'4ce2b6ab4237b',b'4ce2b6ab6f1c7',b'4ce2b7c5c1618',b'4ce2b6ae52fa0',b'4ce2b7e61eb15',"b'When asked what is a \xe2\x80\x98classic\xe2\x80\x99, novelist Italo Calvino replied: \xe2\x80\x9cIt\xe2\x80\x99s a book that, once you\xe2\x80\x99ve finished it, has changed your life, or, better, has changed something in the way you look at life, at your life, at life around you.\xe2\x80\x9d The same should be said for films. So here are ten classics (I could easily add another ten) that, somehow, changed the way I see life and the way I see films.'"
b'1097',b'Ole Bornedal',b'Director',b'Denmark',b'Male',b'4ce2b6ae61fec',b'4ce2b69415af8',b'4ce2b7deca58c',b'4ce2b6ab4237b',b'4ce2b6aea50ea',b'4ce2b6bf4e912',b'4ce2b6b218cee',b'4ce2b6b68d44c',b'4ce2b6af10030',b'4ce2b6b9ad9b2',b''
b'333',b'Martin Botha',b'academic',b'South Africa',b'Male',b'4ce2b69562aa2',b'4ce2b6bc285f7',b'4ce2b6b9f3ba7',b'4ce2b6bcd514a',b'4ce2b6b0ce272',b'4ce2b69415af8',b'4ce2b6bb90873',b'4ce2b75f4052d',b'4ce2b8021b76d',b'4ce2b7c1b61df',"b'Lists are ultimately subjective. I initially considered a list of films that would represent the \xe2\x80\x98most important\xe2\x80\x99 in film history, such as great work from the silent era by Eisenstein and/or Chaplin; features such as Citizen Kane, Rules of the Game, and the other titles that have dominated Sight & Sound polls since 1952. I am teaching international film history and have studied these films. Many of them do represent the aesthetic pinnacles of achievement, but in a strange way my admiration for Welles, Renoir and Eisenstein remains purely cognitive. The ten films in my list had the biggest impact on my view of cinema as an artform, as a means for directorial self-expression, in essence a cinema of auteurs that moved me on an intellectual and emotional level. I would have loved to add a few more: The Enigma of Kaspar Hauser (Werner Herzog), The Tree of Wooden Clogs (Olmi), Hyenas (Mambety), Mother and Son (Sokurov) and the wonderful Apu Trilogy (Satyajit Ray).'"
b'458',b'Josephine Botting',b'archivist',b'UK',b'Female',b'4ce2b6b9450a5',b'4f4b8d15e3b14',b'4ce2b71208b72',b'4ce2b6ac5e051',b'4ce2b6b18a694',b'4ce2b6a754af6',b'4ce2b6b2b2db6',b'4ce2b6955c6ba',b'4ce2b6b61b4e8',b'4ce2b6a99de5f',"b'While I find exercises such as this rather self-indulgent and just a little pretentious, it is nice to take a break from the diet of British movies that BFI curators generally consume. My list is a mixture of films that I watch repeatedly with affection and nostalgia and those I would describe as \xe2\x80\x98great\xe2\x80\x99, by which I mean emotionally compelling, exceptionally innovative or just spectacular.'"
b'239',b'N\xc3\xbaria Bou',b'academic',b'Spain',b'Female',b'4ce2b6a57d76e',b'4ce2b6a7da289',b'4ce2b6b049967',b'4ce2b6b2a3772',b'4ce2b6b461386',b'4ce2b6b4624f5',b'4ce2b75c2a5c0',b'4ce2b6b6d8bc6',b'4ce2b6b9caca4',b'4ce2b6bae34c0',b''
b'931',b'Don Boyd',b'Director',b'UK',b'Male',b'4ce2b6b9450a5',b'4ce2b6a439bc9',b'4ce2b6efd34c7',b'4ce2b6a90d39d',b'4ce2b6a9624ac',b'4ce2b78292f14',b'4ce2b8bf3c780',b'4ce2b6b2deaa5',b'4ce2b76b0507b',b'4ce2b6b8908e4',"b'These films in this tiny, inevitably inadequate list have all had a profound\xc2\xa0influence on my life and work. They demonstrate the powers available to and unleashed by great directors in control of the quintessential art-form of our age \xe2\x80\x93 powers evident in scores of other equally great movies. They stand out now and stand up today as an appropriate selection for this poll. Tomorrow my totally different selection would be as rich and as valid as the lists of everyone else who shares\xc2\xa0my love of cinema. It would still include films directed by Bergman, Fellini, Pasolini, Antonioni and Malle.'"
b'259',b'Nick Bradshaw',b'critic',b'UK',b'Male',b'4ce2b6a5074d0',b'4ce2b8000dbbb',b'1009',b'4ce2b7a39630e',b'4ce2b7ac4482a',b'4ce2b6a943938',b'4ce2b6ae66430',b'4ce2b6b461386',b'4ce2b6b5b13f5',b'4ce2b76ccb454',b''
b'206',b'Peter Bradshaw',b'critic',b'UK',b'Male',b'4ce2b7dba0dfe',b'4ce2b6b7433c1',b'4ce2b6bc053b7',b'4ce2b6a5551ac',b'4ce2b8b17e6c2',b'4ce2b78da502c',b'4ce2b8485aac9',b'4ce2b73453fda',b'4ce2b6bf2249d',b'4ce2b6b6036b6',b''
b'332',b'Martin Brady',b'academic',b'UK',b'Male',b'4ce2b6a79642e',b'4ce2b79171377',b'4ce2b75a75449',b'4ce2b7663dc08',b'4ce2b75f58738',b'4ce2b8153ced0',b'4ce2b6b675dd4',b'4ce2b70ecb5c7',b'4ce2b6b9a848b',b'4ce2b8d4c5be5',"b'In very different ways, all of these films deconstruct cinema into its inherited media, only to recompose them into something entirely new. They are all revolutionary aesthetically and, therefore, politically. On seeing Straub-Huillet\xe2\x80\x99s Sicilia! for the first time, the Austrian writer and filmmaker Peter Handke exclaimed that it had \xe2\x80\x9cmade me rediscover film, [has] shown me cinema again, made it explode in my heart as though for the very first time\xe2\x80\x9d. If these ten films have anything in common, it is this impact.'"
b'67',b'Tara Brady',b'critic',b'Ireland',b'Female',b'4ce2b6a78a11b',b'4ce2b6b7433c1',b'4ce2b6a44b82c',b'4ce2b7359f202',b'4ce2b7bfc9d9a',b'4ce2b6ac5e051',b'4ce2b6af91638',b'4ce2b6b0511e9',b'4ce2b6b54abdf',b'4ce2b6adbf5f5',"b'Thank you to Sight & Sound for ensuring my eternal damnation \xe2\x80\x93 for leaving out Ozu\xe2\x80\x99s Tokyo Story, Peckinpah\xe2\x80\x99s The Wild Bunch, Resnais\xe2\x80\x99 Je T\xe2\x80\x99aime, Je T\xe2\x80\x99aime, Lang\xe2\x80\x99s M, Vertov\xe2\x80\x99s Man with a Movie Camera, Fassbender\xe2\x80\x99s Fear Eats the Soul, Dreyer\xe2\x80\x99s The Passion of Joan of Arc, Hitchcock\xe2\x80\x99s Vertigo, Romero\xe2\x80\x99s Night of the Living Dead, and many, many others. I know I\xe2\x80\x99m going straight to movie hell. Sadly, this, as Hyman Roth so sagely put it, is the business we\xe2\x80\x99ve chosen.'"
b'1020',b'Kenneth Branagh',b'Director',b'UK',b'Male',b'4ce2b6efd34c7',b'4ce2b6a5551ac',b'4ce2b6a66b375',b'4ce2b6a7a801b',b'4ce2b6be7d19a',b'4ce2b6b13ea6d',b'4ce2b6bf2249d',b'4ce2b6b54abdf',b'4ce2b6b824610',b'4ce2b6e32344c',"b""Manhattan is rhapsodic musically, visually and emotionally. The grim comedy of city lives turned to poetry. Grandly ambitious, funny and heartbreaking.Black Narcissus is sinister and erotic. A pioneering triumph of atmosphere and sound. Spiritually grubby \xe2\x80\x93\xc2\xa0and proud of it.Au revoir les enfants is a personal film of exquisite pain. The loss of childhood innocence theme transcends to a requiem for the 20th century. Youthful performances of complete and simple honesty.Welles\xe2\x80\x99s feat of imagination in Citizen Kane remains dazzling and inspiring. Cinema aspiring to great art, political import \xe2\x80\x93 and delivered with unabashed showmanship. The fervour of the work is as excited and electric as ever. The thriller plot never disappoints.Raging Bull is a masterpiece in every element of execution. Revolutionary in its influence on performance, cinematography and sound. Funny and tragic in its immense visceral impact. It is a flawless work of art.Brief Encounter is apparently simple romance lifted to tragic dimensions through the human and the humane. A film that uncovers the heart and soul of the British to the world.The Third Man refuses to yield its mysteries after multiple viewings, but beckons one still, with the grimily sumptuous capture of a city on both physical and metaphysical plain. \nThe Searchers is a master western of breathtaking visual poetry. Ford at his most searing, beautiful and dangerous. Wayne's performance is complex and unsettling. A complete sensory immersion in cinema's myth of the West.Napoleon is a perfect match of epic subject and master filmmaker. For its pioneering and technical innovation alone, it is an incandescent achievement of imagination.Tootsie is a superb comedy of deceptive simplicity. It at once parodies satirises and glorifies art, acting, cinema, TV and modernity at large. Hoffman is magnificent, Murray is sublime, and Jessica Lange's radiance is heart-stopping."""
b'652',b'Dorian Branea',b'programmer',b'Romania',b'Male',b'1010',b'4ce2b6b7433c1',b'4ce2b6b346033',b'4ce2b6ab4237b',b'4ce2b6c32209a',b'4ce2b6ba0b5ce',b'4ce2b6afdc8ac',b'4ce2b75fe2a9d',b'4ce2b765f258a',b'4ce2b6b7bc1b8',b''
b'249',b'Nicole Brenez',b'programmer',b'France',b'Female',b'4ce2b6abb251e',b'4ce2b6e8ec664',b'4ce2b7dd57dd9',b'1011',b'4ce2b6b9946ea',b'4ce2b8c0866ac',b'4ce2b6a3274db',b'1012',b'4ce2b813df499',b'4ce2b6b93e9f8',"b'We haven\xe2\x80\x99t seen the 20th century\xe2\x80\x99s most important films: German films of the extermination camps (even if their shooting was officially forbidden); Soviet films of the gulag (Solzhenitsyn thought they were never made); Chinese films about the camps, which Wang Bing is finally beginning to shoot; scientific films about the splitting of the atom; films about those workers who, at the very end of the 19th century, never left the factory but were instead chopped up inside Chicago\xe2\x80\x99s abattoirs.\nThus, a provisional list that I dedicate to Andr\xc3\xa9 Sauvage\xe2\x80\x99s Dans la brousse annamite (1934), a film abominably mutilated by the industry, which is about a possible trace of paradise on earth.\nAlongside Balle traversant une bulle de savon I choose all the plates, strips and films by Thomas Edison, Eadweard Muybridge, Etienne-Jules Marey, Lucien Bull and Georges Demeny; the scientific films by Docteur Comandon, Jean Painlev\xc3\xa9, Maurice Fran\xc3\xa7on, Alexis Martinet, Yves Berthier; all films that are in slow motion, beginning with Raymonde Carasco\xe2\x80\x99s Gradiva; and all films less than a minute long that invented a new way to describe the world.\nBeside Nothing But the Hours I choose other films on the history of cinematic forms, which invented their own ways of deepening the images: Al Razutis\xe2\x80\x99 Visual Essays, Ken Jacobs\xe2\x80\x99 Tom Tom the Piper\xe2\x80\x99s Son and all of Ken Jacob\xe2\x80\x99s work, Kirk Tougas\xe2\x80\x99s The Politics of Perception, Jean-Luc Godard\xe2\x80\x99s Histoire(s) du Cin\xc3\xa9ma; the films of Dziga Vertov, the Dziga Vertov Group, the Cint\xc3\xa9hique Group, Harun Farocki, Hartmut Bitomsky, Andrei Ujica, Carolee Schneeman, Rui Simoes, Michael Klier, Jayce Salloum, Thom Andersen, Tony Cokes, William E. Jones, Marc Tribe, Mauro Andrizzi\xe2\x80\xa6\nBy the Bluest of Seas \xe2\x80\x93 and those films in which the sea shines, beginning with Jean Epstein\xe2\x80\x99s Breton films (L\xe2\x80\x99Or des mers, Finis Terrae, Mor\xe2\x80\x99Vran...), moving through Stan Brakhage (A Child\xe2\x80\x99s Garden & the Serious Sea), G\xc3\xa9rard Courant (A propos de la Gr\xc3\xa9ce), Ange Leccia & Dominique Gonzalez-Foerster (Ile de Beaut\xc3\xa9), Peter Hutton\xe2\x80\x99s films; all the films that discover new ways of describing landscapes, such as those of Lumi\xc3\xa9re, Masao Adachi\xe2\x80\x99s a.k.a Serial Killer, Jean-Marie Straub & Dani\xc3\xa9le Huillet Too Early Too Late, Wang Bing\xe2\x80\x99s West of the Tracks\xe2\x80\xa6\nAfrique 50 \xe2\x80\x93 and the counter-information and activist films by Joris Ivens, Ren\xc3\xa9 Vautier, Chris Marker, the Newsreel, Cine-Giornali, Emile de Antonio, Edouard de Laurot, Fernando Solanas & Octavio Getino, Guillermo Escalon, the Groupe Medvedkine, Anand Patwardhan, Carole & Paul Roussopoulos, Lech Kowalski, John Gianvito and so many collectives all over the world; the re-enactment of images impossible to document, such as Herbert J. Biberman\xe2\x80\x99s Salt of the Earth; plus all those that hurl their rage or their sorrow at exploitation (Les Maitres Fous by Jean Rouch, Vite by Daniel Pommereulle, Ali au pays des merveilles by Djouhra Abouda and Alain Bonnamy).\nAguaespejo Granadino \xe2\x80\x93 and those films that invented their own tools and devices: Abel Gance, Michael Snow\xe2\x80\x99s Wavelength, films by Karel Doing, Joost Rekveld, J\xc3\xa9r\xc3\xb4me Schlomoff, Jacques Perconte, all films made without a camera, without money but with genius, from Len Lye to David Matarasso by way of Maurice Lema\xc3\xaetre, Jean-Pierre Bouyxou and C\xc3\xa9cile Fontaine.\nAdebar \xe2\x80\x93 and the structural and metrical films by Peter Kubelka, Paul Sharits, Malcolm Le Grice, Peter Gidal, Mike Dunford, Wilhelm and Birgit Hein, Peter Tscherkassky, Siegfried Frufhauf etc; and all those films in which bodies are dancing shadows, from Emile Cohl and Georges M\xc3\xa9li\xc3\xa9s to Lotte Reiniger, from Gjon Mili to John Woo (in his Hong Kong period), from C.T Dreyer\xe2\x80\x99s Vampyr to Ronald Nameth or Patrice Kirchhofer.\nLondon 66\xe2\x80\x99-67\xe2\x80\x99 \xe2\x80\x93 and all those films whose makers are also musicians and poets (Jonas Mekas, Ana Hatherly, Maurisio Kagel, Pierre Cl\xc3\xa9menti, F.J. Ossang, Marc & Eric Hurtado); those whose auteurs do the music themselves (Selva by Maria Klonaris); and those created on the basis of a song or piece of music (such as Alberto Cavalcanti\xe2\x80\x99s P\xe2\x80\x99tite Lilie, Dimitri Kirsanov\xe2\x80\x99s The Cradle, Anthony\xe2\x80\x99s Stern\xe2\x80\x99s San Francisco).\nTwo Lane Blacktop \xe2\x80\x93 and all those films that create their own world in the name of amour fou, by Buster Keaton, Tod Browning, Jean Vigo, Robert Bresson, Marcel Hanoun, John Cassavetes, Chantal Akerman; Jacques Rivette\xe2\x80\x99s eponymous contribution; Pakeezah by Kamal Amrohi; Green Snake by Tsui Hark; Tabu by Nagisa Oshima; plus those by Peter Emanuel Goldman, Jean Eustache, Philippe Garrel, Christian Boltanski, R.W. Fassbinder, P.P. Pasolini, Philippe Grandrieux, Abel Ferrara, Patricia Mazuy, Virginie Despentes et Coralie Trinh-Ti, Jia Zhang Ke, Larry Clark, Gus Van Sant, Vincent Gallo.\nTimeless, Bottomless, Bad Movie \xe2\x80\x93 and those films exploding and reassembling the cinematic forms with such energy that they remain unique, seeming fireworks of the real, such as those by Teinosuke Kinugasa, Luis Bu\xc3\xb1uel, Jean Vigo, Mario Peixoto, Santiago Alvarez, Peter Watkins, Lionel Soukaz, Toshio Matsumoto, Masanori Oe, Djibril Diop Mamb\xc3\xa9ty, Jia Zhang-ke, Cheick Oumar Sissoko.\nProfit & Nothing But! Or Impolite Thoughts on the Class Struggle \xe2\x80\x93 and those films that are not about war but are rather themselves at war, trying to become tools and instructions for fighters: S.M. Eisenstein\xe2\x80\x99s The Strike, Holger Meins\xe2\x80\x99 Cocktail Molotov, Masao Adachi\xe2\x80\x99s The Red Army/FPLP, Declaration of World War, Jean-Fran\xc3\xa7ois Richet\xe2\x80\x99s Ma 6-T va crack-er, Kinji Fukasaku\xe2\x80\x99s Battle Royale; those films that were not made by \xe2\x80\x98professional\xe2\x80\x99 filmmakers but rather by citizens, such as October in Paris by Jacques Panijel (1962) or Douglas Bravo by George-Henri Mattei (Venezuela, 1970).\nTranslated by Adrian Martin and Brad Stevens.'"
b'282',b'Mimi Brody',b'programmer',b'US',b'Female',b'4ce2b6a439bc9',b'4ce2b6a470348',b'4ce2b7a39630e',b'4ce2b6bcdd06c',b'4ce2b6a9624ac',b'4ce2b71202028',b'4ce2b714e9247',b'4ce2b6b9d14d8',b'4ce2b6b757144',b'4ce2b848e226c',"b'This list doesn\xe2\x80\x99t reflect all of the directors whose work is important to me (Davies, Denis, Leigh, Loach, Sirk and Sternberg, among others).'"
b'167',b'Richard Brody',b'critic',b'US',b'Male',b'4ce2b6ab03131',b'4ce2b6bbbae8c',b'4ce2b6accac8a',b'4ce2b6b9d14d8',b'4ce2b797112e2',b'4ce2b7916e67e',b'4ce2b6b008211',b'4ce2b6b3291db',b'4ce2b6b41d658',b'4ce2b76b0507b',"b'Trying to get past the conundrum of balancing love and analysis, of taking into account personal passion, historical importance and aesthetic assessment, I landed on the word \xe2\x80\x98awe\xe2\x80\x99 to line up movies in terms of what both defines the cinema as an art and what launches it into an orbit akin to that of the other arts. But that word came afterwards; I had no hesitation about eight out of ten, and that criterion helped me out of my final jam. And yet, it seems arbitrary and Procrustean and leaves me full of regret over what\xe2\x80\x99s left out.'"
b'638',b'Elisabeth Bronfen',b'academic',b'Switzerland',b'Female',b'4ce2b6ab42667',b'4ce2b6ae66430',b'4ce2b6aadb03d',b'4ce2b6b185765',b'4ce2b6b54abdf',b'4ce2b6b757144',b'4ce2b6b7bc1b8',b'4ce2b8021b76d',b'4ce2b6b9caca4',b'4ce2b6bb3c86d',b''
